,X_train,Y_train
0,-10.0,4.600494387982781
1,-8.789473684210526,4.043624315710249
2,-7.578947368421053,4.342515613502383
3,-6.368421052631579,4.020042297899475
4,-5.157894736842105,3.372038886643857
5,-3.947368421052632,1.5417568284472565
6,-2.7368421052631575,1.509040987460947
7,-1.526315789473685,1.7119990305646655
8,-0.3157894736842106,0.7945521532114392
9,0.8947368421052637,-0.5821027601167461
10,2.1052631578947363,-1.8189172117299057
11,3.3157894736842106,-2.326275137345301
12,4.526315789473685,-2.80695218568647
13,5.7368421052631575,-2.4890790132677516
14,6.94736842105263,-3.375220766624272
15,8.157894736842106,-3.91060577870891
